ang.(deg) ang.(rad) ser.val. ext.val. diff.
   0.0     0.000    1.00000  1.00000  0.00000
   5.0     0.087    0.99619  0.99619  0.00000
  15.0     0.262    0.96593  0.96593  0.00000
  20.0     0.349    0.93969  0.93969  0.00000
  30.0     0.524    0.86603  0.86603  0.00000
  60.0     1.047    0.50000  0.50000  0.00000
  90.0     1.571   -0.00000 -0.00000  0.00000
 200.0     3.491   -0.93969 -0.93969  0.00000
1000.0     4.887    0.17365  0.17365  0.00000
